fips,state,county,year,less_than_hs,hs_diploma,some_college_or_associates,college_bachelors_or_higher,pct_less_than_hs,pct_hs_diploma,pct_college_or_associates,pct_college_bachelors_or_higher,,,
0,US,United States,1970,52373312,34158051,11650730,11717266,47.7,31.1,10.6,10.7,,,
1000,AL,Alabama,1970,1062306,468269,136287,141936,58.7,25.9,7.5,7.8,,,
1001,AL,Autauga County,1970,6611,3757,933,767,54.8,31.1,7.7,6.4,,,
1003,AL,Baldwin County,1970,18726,8426,2334,2038,59.4,26.7,7.4,6.5,,,
1005,AL,Barbour County,1970,8120,2242,581,861,68.8,19,4.9,7.3,,,
1007,AL,Bibb County,1970,5272,1402,238,302,73.1,19.4,3.3,4.2,,,
1009,AL,Blount County,1970,10677,3440,626,404,70.5,22.7,4.1,2.7,,,
1011,AL,Bullock County,1970,4245,958,305,314,72.9,16.5,5.2,5.4,,,
1013,AL,Butler County,1970,8353,2459,499,541,70.5,20.7,4.2,4.6,,,
1015,AL,Calhoun County,1970,30535,13804,3823,3921,58.6,26.5,7.3,7.5,,,
1017,AL,Chambers County,1970,13616,4816,927,847,67.4,23.8,4.6,4.2,,,
1019,AL,Cherokee County,1970,6126,1878,440,329,69.8,21.4,5,3.8,,,
1021,AL,Chilton County,1970,10285,2805,538,415,73.2,20,3.8,3,,,
1023,AL,Choctaw County,1970,5720,1922,378,362,68.2,22.9,4.5,4.3,,,
1025,AL,Clarke County,1970,8459,3485,800,738,62.7,25.8,5.9,5.5,,,
1027,AL,Clay County,1970,4784,1719,345,311,66.8,24,4.8,4.3,,,
1029,AL,Cleburne County,1970,4431,1198,272,162,73.1,19.8,4.5,2.7,,,
1031,AL,Coffee County,1970,10790,4861,1332,1040,59.9,27,7.4,5.8,,,
1033,AL,Colbert County,1970,15050,7986,2151,1554,56.3,29.9,8,5.8,,,
1035,AL,Conecuh County,1970,5889,1709,332,342,71.2,20.7,4,4.1,,,
1037,AL,Coosa County,1970,3983,1260,269,196,69.8,22.1,4.7,3.4,,,
1039,AL,Covington County,1970,13470,4333,1014,918,68.3,22,5.1,4.7,,,
1041,AL,Crenshaw County,1970,5595,1295,385,296,73.9,17.1,5.1,3.9,,,
1043,AL,Cullman County,1970,20137,6244,1405,1113,69.7,21.6,4.9,3.9,,,
