geo_id,fips,county,total_employed,agriculture,construction,manufacturing,wholesale_trade,retail_trade,transport_utilities,information,finance_insurance_realestate,prof_scientific_waste,edu_health,arts_recreation,other,public_admin,year
0500000US01003,1003,"Baldwin County, Alabama",77263,1302,6489,6134,2131,9525,3557,940,5893,9873,14753,8257,3575,4834,2010
0500000US01015,1015,"Calhoun County, Alabama",42768,337,1371,7868,750,5706,1626,779,2234,3776,8351,3799,2440,3731,2010
0500000US01043,1043,"Cullman County, Alabama",,,,,,,,,,,,,,,2010
0500000US01049,1049,"DeKalb County, Alabama",,,,,,,,,,,,,,,2010
0500000US01051,1051,"Elmore County, Alabama",,,,,,,,,,,,,,,2010
0500000US01055,1055,"Etowah County, Alabama",,,,,,,,,,,,,,,2010
0500000US01069,1069,"Houston County, Alabama",45470,790,2967,4237,1897,6225,2838,670,1980,3458,9843,5200,2658,2707,2010
0500000US01073,1073,"Jefferson County, Alabama",289454,1761,17682,27091,8859,34024,14727,8309,25021,29164,67630,26357,15828,13001,2010
0500000US01077,1077,"Lauderdale County, Alabama",39581,946,3579,4285,1364,6047,2474,439,1771,2710,8624,3551,3148,643,2010
0500000US01081,1081,"Lee County, Alabama",63718,763,3315,7701,765,7232,1976,1198,3862,4520,18639,7234,3187,3326,2010
0500000US01083,1083,"Limestone County, Alabama",,,,,,,,,,,,,,,2010
0500000US01089,1089,"Madison County, Alabama",156411,569,9917,18415,2697,15082,4612,4594,7674,28194,31686,12588,7637,12746,2010
0500000US01095,1095,"Marshall County, Alabama",39438,564,3866,8567,1635,5280,1069,827,1374,2421,7018,1647,1809,3361,2010
0500000US01097,1097,"Mobile County, Alabama",170552,2025,10788,21036,5355,22541,9296,2413,8469,17946,38617,17012,8326,6728,2010
0500000US01101,1101,"Montgomery County, Alabama",99081,535,3959,9332,2467,11904,3929,833,5802,9252,20680,10844,6779,12765,2010
0500000US01103,1103,"Morgan County, Alabama",53198,495,3745,11347,1692,5495,3281,783,2244,5808,7868,6052,2530,1858,2010
0500000US01115,1115,"St. Clair County, Alabama",35991,385,2902,4557,2055,4935,2201,697,2000,2932,6655,1684,1929,3059,2010
0500000US01117,1117,"Shelby County, Alabama",97212,1352,7570,6349,3661,14025,3609,3074,10130,12006,18850,7566,4696,4324,2010
0500000US01121,1121,"Talladega County, Alabama",,,,,,,,,,,,,,,2010
