state,State postal abbreviation
state_fips,State FIPS code
county,County name
county_fips,County FIPS code
fips,Concatenated State-county FIPS code
year,Year of data=2010
population,"Total population of county, in thousands"
pub_sup_1,"Public Supply, population served by groundwater, in thousands"
pub_sup_2,"Public Supply, population served by surface water, in thousands"
pub_sup_3,"Public Supply, total population served, in thousands"
pub_sup_4,"Public Supply,  groundwater withdrawals, fresh, in Mgal/d"
pub_sup_5,"Public Supply, groundwater withdrawals, saline, in Mgal/d"
pub_sup_6,"Public Supply, groundwater withdrawals, total, in Mgal/d"
pub_sup_7,"Public Supply, surface-water withdrawals, fresh, in Mgal/d"
pub_sup_8,"Public Supply, surface-water withdrawals, saline, in Mgal/d"
pub_sup_9,"Public Supply, surface-water withdrawals, total, in Mgal/d"
pub_sup_10,"Public Supply, total withdrawals, fresh, in Mgal/d"
pub_sup_11,"Public Supply, total withdrawals, saline, in Mgal/d"
pub_sup_12,"Public Supply, total withdrawals, total (fresh+saline), in Mgal/d"
dom_sup_1,"Domestic, self-supplied population, in thousands"
dom_sup_2,"Domestic, self-supplied groundwater withdrawals, fresh, in Mgal/d"
dom_sup_3,"Domestic, self-supplied surface-water withdrawals, fresh, in Mgal/d"
dom_sup_4,"Domestic, total self-supplied withdrawals, fresh, in Mgal/d"
dom_sup_5,"Domestic self-supplied per capita use, in gallons/day [DO-WFrTo/DO-SSPop*1000]"
dom_sup_6,"Domestic, deliveries from Public Supply, in Mgal/d"
dom_sup_7,"Domestic, publicly supplied per capita use, in gallons/day [DO-PSDel/PS-TOPop]"
dom_sup_8,"Domestic, total use (withdrawals + deliveries)"
ind_1,"Industrial, self-supplied groundwater withdrawals, fresh, in Mgal/d"
ind_2,"Industrial, self-supplied groundwater withdrawals, saline, in Mgal/d"
ind_3,"Industrial, self-supplied groundwater withdrawals, total, in Mgal/d"
ind_4,"Industrial, self-supplied surface-water withdrawals, fresh, in Mgal/d"
ind_5,"Industrial, self-supplied surface-water withdrawals, saline, in Mgal/d"
ind_6,"Industrial, self-supplied surface-water withdrawals, total, in Mgal/d"
ind_7,"Industrial, self-supplied total withdrawals, fresh, in Mgal/d"
ind_8,"Industrial, self-supplied total withdrawals, saline, in Mgal/d"
ind_9,"Industrial, self-supplied total withdrawals, total (fresh+saline), in Mgal/d"
irrigation_1,"Irrigation, groundwater withdrawals, fresh, in Mgal/d"
irrigation_2,"Irrigation, surface-water withdrawals, fresh, in Mgal/d"
irrigation_3,"Irrigation, total withdrawals, fresh, in Mgal/d"
irrigation_4,"Irrigation, acres irrigated, sprinkler, in thousands"
